CIBIL,Approval
350,0
350,0
350,0
351,0
352,0
352,0
353,0
354,0
355,0
357,0
357,0
358,0
358,0
358,0
360,0
361,0
361,0
361,0
362,0
362,0
363,0
363,0
364,0
364,0
365,0
365,0
365,0
365,0
365,0
366,0
366,0
366,0
366,0
367,0
367,0
368,0
369,0
370,0
370,0
371,0
372,0
372,0
372,0
373,0
373,0
374,0
374,0
376,0
376,0
376,0
377,0
379,0
380,0
380,0
381,0
381,0
383,0
383,0
383,0
383,0
383,0
384,0
384,0
386,0
386,0
387,0
387,0
387,0
388,0
389,0
392,0
392,0
392,0
392,0
393,0
393,0
393,0
394,0
395,0
395,0
395,0
396,0
397,0
397,0
397,0
397,0
398,0
400,0
400,0
400,0
401,0
401,0
402,0
403,0
403,0
403,0
403,0
404,0
405,0
406,0
406,0
406,0
407,0
407,0
407,0
407,0
407,0
407,0
408,0
408,0
408,0
408,0
409,0
409,0
410,0
411,0
411,0
412,0
412,0
412,0
413,0
414,0
414,0
414,0
415,0
415,0
416,0
416,0
418,0
418,0
419,0
419,0
420,0
420,0
420,0
421,0
421,0
422,0
422,0
424,0
424,0
424,0
424,0
424,0
424,0
425,0
426,0
426,0
427,0
428,0
428,0
429,0
429,0
430,0
431,0
433,0
433,0
434,0
434,0
434,0
435,0
435,0
435,0
436,0
436,0
436,0
437,0
437,0
437,0
437,0
438,0
438,0
439,0
439,0
440,0
441,0
442,0
443,0
443,0
444,0
446,0
446,0
446,0
447,0
447,0
448,0
448,0
448,0
448,0
449,0
449,0
450,0
450,0
451,0
451,0
452,0
453,0
454,0
455,0
455,0
455,0
456,0
458,0
458,0
458,0
459,0
460,0
461,0
461,0
461,0
461,0
462,0
462,0
463,0
464,0
464,0
465,0
465,0
465,0
465,1
467,0
467,0
468,1
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,0
475,0
475,0
476,0
477,0
479,0
479,1
479,0
480,0
480,0
480,0
481,0
483,0
483,0
484,1
485,1
485,1
487,1
487,1
490,0
490,0
492,1
492,0
492,1
492,1
492,0
492,1
492,1
492,0
493,1
494,1
494,0
494,1
495,1
495,0
495,0
495,0
496,0
496,0
496,0
497,0
497,0
498,0
498,0
499,0
499,0
499,0
499,0
500,0
501,0
501,0
501,0
503,0
503,0
503,0
504,0
505,0
505,0
506,1
507,1
507,1
507,1
508,1
510,0
510,1
510,1
510,1
511,0
511,0
511,0
512,0
514,1
515,0
515,1
517,0
517,1
517,1
518,0
518,0
518,1
520,1
521,0
521,1
521,1
521,1
522,0
522,1
524,0
524,1
524,1
525,0
525,0
525,0
525,1
525,1
526,1
527,1
528,0
528,0
528,1
529,0
529,0
529,0
530,1
531,0
532,0
533,0
534,0
535,1
535,1
536,1
537,0
537,1
539,1
541,1
542,0
543,1
544,0
544,1
544,1
548,0
548,1
549,0
549,1
549,1
550,0
550,0
550,0
550,0
550,1
552,0
552,1
553,0
553,0
553,1
555,0
555,0
555,0
555,1
556,0
556,1
557,1
558,0
559,0
560,0
560,1
560,1
561,0
561,1
562,1
562,1
563,0
564,0
565,0
565,1
566,0
567,0
568,0
569,0
570,1
570,1
571,0
571,0
571,1
572,0
572,0
572,1
573,0
573,0
574,0
574,1
574,1
576,0
577,0
578,0
578,0
580,0
580,1
581,1
581,1
582,0
582,0
583,0
584,0
584,1
585,0
586,0
586,0
587,0
587,0
587,1
587,1
588,0
588,0
588,1
589,1
589,1
590,0
590,0
590,1
592,0
592,0
592,1
593,0
594,0
595,0
595,0
595,0
595,0
595,1
596,1
597,0
597,0
597,0
597,1
598,0
599,1
599,1
600,0
600,1
600,1
601,0
601,1
601,1
602,1
603,0
603,1
603,1
604,0
604,0
605,0
605,1
606,1
606,1
607,0
607,0
607,1
607,1
609,0
610,1
610,1
611,0
613,0
613,0
614,0
614,0
615,1
616,0
616,0
616,1
617,0
617,1
618,0
618,1
619,1
619,1
619,1
620,0
620,0
620,1
620,1
620,1
620,1
620,1
622,0
622,1
622,1
623,0
623,1
625,1
626,1
626,1
626,1
627,0
627,1
628,0
628,0
628,1
628,1
629,0
629,0
629,1
629,1
630,0
630,1
630,1
630,1
631,0
632,0
632,1
633,0
633,1
634,0
634,1
635,0
635,0
635,1
636,0
636,1
636,1
637,0
638,0
638,1
639,0
640,1
641,1
641,1
642,0
642,1
642,1
643,0
643,1
644,0
644,0
644,1
645,0
645,0
645,1
645,1
647,0
647,0
647,0
648,1
649,0
649,0
649,1
651,1
651,1
651,1
652,0
652,0
652,1
653,1
654,0
654,0
654,1
655,0
655,0
656,0
656,0
656,1
656,1
656,1
657,0
657,0
658,0
658,1
658,1
659,0
660,1
662,1
663,0
663,0
664,0
665,0
666,1
666,1
667,0
667,0
667,1
667,1
667,1
668,1
668,1
669,1
670,0
670,1
670,1
671,0
671,1
671,1
671,1
672,0
672,1
673,0
673,1
673,1
673,1
674,0
674,1
674,1
675,0
675,0
675,0
675,1
676,0
676,1
677,0
679,0
679,0
679,1
680,0
680,1
681,0
681,0
681,0
681,1
681,1
681,1
682,0
682,0
682,1
682,1
683,0
683,1
683,1
684,0
684,0
684,1
685,1
687,0
689,1
691,0
691,1
692,1
693,0
694,1
695,0
695,0
695,1
698,0
699,0
700,0
700,1
702,1
703,0
703,0
704,0
704,0
704,0
704,1
704,1
705,0
705,1
706,1
707,0
707,1
708,0
709,1
710,1
